Player,Team,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Opponent
AJ Hosein ,West Indies,3,3,30.0,2,109,6,3/30,18.16,3.63,30.0,0,0,Australia
Imad Wasim ,Pakistan,5,4,37.0,0,236,6,3/53,39.33,6.37,37.0,0,0,England
AS Joseph ,West Indies,2,2,16.4,0,103,6,3/50,17.16,6.18,16.6,0,0,South Africa
MP Kuhnemann ,Australia,4,4,38.0,3,191,6,2/26,31.83,5.02,38.0,0,0,Sri Lanka
B Kumar ,India,3,3,29.0,0,135,6,3/42,22.50,4.65,29.0,0,0,England
D Madushanka ,Sri Lanka,2,2,16.0,0,123,6,5/80,20.50,7.68,16.0,0,1,India
Mashrafe Mortaza ,Bangladesh,4,4,34.0,1,174,6,3/49,29.00,5.11,34.0,0,0,West Indies
AD Mathews ,Sri Lanka,5,4,20.0,0,102,6,4/59,17.00,5.10,20.0,1,0,West Indies
GJ Maxwell ,Australia,11,11,68.4,1,401,6,4/40,66.83,5.83,68.6,1,0,India
GJ Maxwell ,Australia,7,7,64.3,2,308,6,2/35,51.33,4.77,64.5,0,0,Sri Lanka
Mohammad Nawaz ,Pakistan,6,6,50.1,0,250,6,4/38,41.66,4.98,50.1,1,0,New Zealand
JN Mohammed ,West Indies,3,3,24.0,1,108,6,3/47,18.00,4.50,24.0,0,0,Sri Lanka
Mohammed Siraj ,India,4,4,27.0,2,115,6,3/38,19.16,4.25,27.0,0,0,South Africa
G Motie ,West Indies,3,3,26.4,4,80,6,4/23,13.33,3.00,26.6,1,0,Bangladesh
A Nortje ,South Africa,4,4,29.1,0,191,6,2/35,31.83,6.54,29.1,0,0,Australia
HH Pandya ,India,8,6,31.0,0,211,6,3/44,35.16,6.80,31.0,0,0,Australia
HH Pandya ,India,7,5,36.0,3,182,6,4/24,30.33,5.05,36.0,1,0,England
KMA Paul ,West Indies,5,5,34.4,0,218,6,3/59,36.33,6.28,34.6,0,0,India
AL Phehlukwayo ,South Africa,4,4,32.0,0,209,6,2/56,34.83,6.53,32.0,0,0,Pakistan
K Rabada ,South Africa,4,4,38.0,5,182,6,2/36,30.33,4.78,38.0,0,0,India
MJ Santner ,New Zealand,6,6,50.0,1,258,6,2/34,43.00,5.16,50.0,0,0,Australia
MJ Santner ,New Zealand,5,5,41.0,2,153,6,2/23,25.50,3.73,41.0,0,0,Bangladesh
MJ Santner ,New Zealand,11,11,87.1,3,461,6,2/34,76.83,5.28,87.1,0,0,India
Shafiul Islam ,Bangladesh,3,3,24.0,2,159,6,3/62,26.50,6.62,24.0,0,0,Sri Lanka
T Shamsi ,South Africa,6,6,49.0,1,346,6,2/52,57.66,7.06,49.0,0,0,India
MA Starc ,Australia,2,2,20.0,0,98,6,4/55,16.33,4.90,20.0,1,0,Sri Lanka
Taijul Islam ,Bangladesh,3,3,30.0,0,164,6,3/54,27.33,5.46,30.0,0,0,England
Usman Shinwari ,Pakistan,2,2,18.0,2,92,6,5/51,15.33,5.11,18.0,0,1,Sri Lanka
Washington Sundar ,India,3,3,16.0,0,56,6,3/37,9.33,3.50,16.0,0,0,Bangladesh
MA Wood ,England,4,4,36.0,3,228,6,3/34,38.00,6.33,36.0,0,0,India
SA Abbott ,Australia,4,4,29.5,1,175,5,2/50,35.00,5.86,35.8,0,0,South Africa
Rehan Ahmed ,England,3,3,27.0,2,117,5,2/40,23.40,4.33,32.4,0,0,West Indies
R Ashwin ,India,3,3,27.0,1,122,5,3/41,24.40,4.51,32.4,0,0,Australia
JP Behrendorff ,Australia,2,2,18.1,2,82,5,5/44,16.40,4.51,21.8,0,1,England
N Burger ,South Africa,3,3,24.4,1,129,5,3/30,25.80,5.22,29.6,0,0,India
G Coetzee ,South Africa,2,2,20.0,0,110,5,3/57,22.00,5.50,24.0,0,0,West Indies
SS Cottrell ,West Indies,4,4,28.0,1,164,5,2/29,32.80,5.85,33.6,0,0,Australia
SM Curran ,England,3,3,23.4,2,123,5,5/48,24.60,5.19,28.4,0,1,Sri Lanka
NT Ellis ,Australia,4,4,36.0,1,229,5,2/32,45.80,6.36,43.2,0,0,South Africa
LH Ferguson ,New Zealand,3,3,28.0,0,180,5,3/50,36.00,6.42,33.6,0,0,England
LH Ferguson ,New Zealand,2,2,16.2,2,57,5,3/22,11.40,3.48,19.6,0,0,Sri Lanka
N Pradeep ,Sri Lanka,2,2,19.0,1,104,5,3/51,20.80,5.47,22.8,0,0,Bangladesh
N Pradeep ,Sri Lanka,5,5,38.1,2,213,5,2/37,42.60,5.58,45.8,0,0,West Indies
PW Hasaranga ,Sri Lanka,2,2,19.0,0,110,5,4/58,22.00,5.78,22.8,1,0,Australia
PW Hasaranga ,Sri Lanka,6,6,60.0,3,241,5,3/30,48.20,4.01,72.0,0,0,West Indies
BE Hendricks ,South Africa,2,2,18.2,1,97,5,3/63,19.40,5.29,22.0,0,0,India
MJ Henry ,New Zealand,5,5,43.0,4,189,5,3/37,37.80,4.39,51.6,0,0,India
AJ Hosein ,West Indies,6,6,53.2,4,240,5,3/26,48.00,4.50,64.0,0,0,Bangladesh
AJ Hosein ,West Indies,5,5,42.0,0,251,5,1/39,50.20,5.97,50.4,0,0,India
AJ Hosein ,West Indies,3,3,29.0,1,139,5,3/28,27.80,4.79,34.8,0,0,New Zealand
AJ Hosein ,West Indies,3,3,30.0,0,145,5,3/52,29.00,4.83,36.0,0,0,Pakistan
AJ Hosein ,West Indies,2,2,17.0,0,108,5,3/59,21.60,6.35,20.4,0,0,South Africa
AJ Hosein ,West Indies,4,4,32.0,0,151,5,3/33,30.20,4.71,38.4,0,0,Sri Lanka
RA Jadeja ,India,1,1,9.0,1,33,5,5/33,6.60,3.66,10.8,0,1,South Africa
M Jansen ,South Africa,3,3,25.0,0,154,5,2/35,30.80,6.16,30.0,0,0,England
AS Joseph ,West Indies,3,3,27.2,2,144,5,3/36,28.80,5.26,32.8,0,0,New Zealand
C Karunaratne ,Sri Lanka,6,6,27.0,1,162,5,3/47,32.40,6.00,32.4,0,0,Australia
C Karunaratne ,Sri Lanka,6,6,38.0,1,230,5,2/51,46.00,6.05,45.6,0,0,India
NM Lyon ,Australia,5,5,50.0,0,249,5,1/38,49.80,4.98,60.0,0,0,Pakistan
Mahedi Hasan ,Bangladesh,6,6,45.0,1,202,5,3/45,40.40,4.48,54.0,0,0,New Zealand
GJ Maxwell ,Australia,5,5,31.0,0,159,5,4/52,31.80,5.12,37.2,1,0,New Zealand
Mehidy Hasan Miraz ,Bangladesh,3,3,29.0,0,141,5,3/60,28.20,4.86,34.8,0,0,Pakistan
AF Milne ,New Zealand,3,3,27.0,1,150,5,2/56,30.00,5.55,32.4,0,0,Pakistan
DJ Mitchell ,New Zealand,8,3,16.0,0,96,5,3/25,19.20,6.00,19.2,0,0,India
DJ Mitchell ,New Zealand,3,2,10.0,1,44,5,3/32,8.80,4.40,12.0,0,0,Sri Lanka
Mohammad Amir ,Pakistan,2,2,19.0,2,89,5,5/30,17.80,4.68,22.8,0,1,Australia
Mohammad Wasim ,Pakistan,3,3,28.0,1,155,5,3/40,31.00,5.53,33.6,0,0,Australia
Mustafizur Rahman ,Bangladesh,2,2,17.0,0,122,5,5/75,24.40,7.17,20.4,0,1,Pakistan
Nasum Ahmed ,Bangladesh,3,3,27.4,8,74,5,3/19,14.80,2.67,33.2,0,0,West Indies
JDS Neesham ,New Zealand,3,3,24.0,1,140,5,3/43,28.00,5.83,28.8,0,0,England
L Ngidi ,South Africa,4,4,35.4,1,240,5,3/64,48.00,6.72,42.8,0,0,Pakistan
A Nortje ,South Africa,3,3,27.3,0,161,5,3/57,32.20,5.85,33.0,0,0,Sri Lanka
W O'Rourke ,New Zealand,3,3,18.5,0,115,5,3/47,23.00,6.10,22.6,0,0,Bangladesh
HH Pandya ,India,4,4,29.0,3,178,5,2/16,35.60,6.13,34.8,0,0,New Zealand
HH Pandya ,India,4,3,19.0,0,95,5,2/34,19.00,5.00,22.8,0,0,Pakistan
MW Parkinson ,England,3,3,24.0,0,140,5,2/28,28.00,5.83,28.8,0,0,Pakistan
