Player,Team,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Opponent
Mohammad Hasnain ,Pakistan,4,4,15.0,0,138,5,3/37,27.60,9.20,18.0,0,0,Sri Lanka
Mohammad Nawaz ,3) ,6,5,16.0,0,116,5,2/25,23.20,7.25,19.2,0,0,Bangladesh
Mohammad Nawaz ,3) ,8,7,23.0,0,193,5,3/35,38.60,8.39,27.6,0,0,England
G Motie ,West Indies,4,4,16.0,0,118,5,3/24,23.60,7.37,19.2,0,0,England
L Ngidi ,South Africa,6,6,18.5,0,219,5,3/41,43.80,11.62,22.6,0,0,Australia
HH Pandya ,India,6,4,13.0,0,91,5,4/16,18.20,7.00,15.6,1,0,New Zealand
MW Parkinson ,England,2,2,6.0,0,61,5,4/47,12.20,10.16,7.2,1,0,New Zealand
AR Patel ,India,8,7,21.5,0,188,5,1/16,37.60,8.61,26.2,0,0,South Africa
HV Patel ,India,3,3,10.4,0,79,5,2/25,15.80,7.40,12.8,0,0,New Zealand
HV Patel ,India,3,3,12.0,0,105,5,3/22,21.00,8.75,14.4,0,0,West Indies
K Rabada ,South Africa,5,5,18.5,0,170,5,3/48,34.00,9.02,22.6,0,0,England
AU Rashid ,England,6,6,23.0,1,168,5,1/14,33.60,7.30,27.6,0,0,India
NA Saini ,India,4,2,7.5,0,46,5,3/28,9.20,5.87,9.4,0,0,Sri Lanka
NA Saini ,India,3,3,11.0,1,78,5,3/17,15.60,7.09,13.2,0,0,West Indies
T Sangha ,Australia,5,5,20.0,0,179,5,2/30,35.80,8.95,24.0,0,0,India
T Sangha ,Australia,2,2,8.0,0,70,5,4/31,14.00,8.75,9.6,1,0,South Africa
MJ Santner ,New Zealand,3,2,8.0,0,32,5,4/16,6.40,4.00,9.6,1,0,Bangladesh
MJ Santner ,New Zealand,8,8,32.0,0,230,5,2/27,46.00,7.18,38.4,0,0,Pakistan
Shadab Khan ,Pakistan,13,13,44.0,0,355,5,1/26,71.00,8.06,52.8,0,0,New Zealand
Shaheen Shah Afridi ,Pakistan,4,4,14.0,0,125,5,3/26,25.00,8.92,16.8,0,0,West Indies
T Shamsi ,South Africa,2,2,8.0,0,41,5,3/20,8.20,5.12,9.6,0,0,Bangladesh
